ford
tid attemp_tp tp 50lat 99lat
6 5882.44 1717.56 182.583 1784.19
10 5788.72 1668.65 182.466 1701.82
12 5749.89 1653.9 182.18 1917.15
1 5737.73 1661.87 186.091 1734.23
5 5729.45 1667.16 194.192 1745.73
14 5726.08 1641.55 187.398 1766.89
2 5715.42 1654.84 188.109 1840.04
0 5703.89 1640.32 185.021 2037.56
4 5650.46 1656.04 192.993 2237.14
3 5650.19 1624.2 186.746 2013.55
15 5190.45 1556.72 202.619 2005.69
11 5180.04 1548.62 205.088 2167.63
8 5009.76 1521.66 209.217 2044.95
7 4595.15 1554.81 224.271 1900
13 4557.91 1512.95 232.916 2294.88
9 4441.84 1513.34 230.433 2200.27
86309.4 25794.2 182.18 232.916 198.27 1701.82 2294.88 1961.98

